SSN_UUID,SSN_UUID_C,months_as_customer,age,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,fraud_reported,fraud_reported1
2138548,,166,37,2000,1337.28,8000000,MALE,JD,craft-repair,reading,husband,27500,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,9038 2nd Lane,10,3,NO,2,2,?,67140,7460,7460,52220,Ford,Y,1
2138548,,155,35,1000,1088.34,0,FEMALE,Associate,adm-clerical,yachting,other-relative,81100,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,6092 5th Ave,16,3,YES,2,3,NO,29790,3310,3310,23170,BMW,N,0
2138548,2518077,114,30,1000,1558.29,0,MALE,High School,farming-fishing,video-games,wife,51400,-64000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,8353 Britain Ridge,1,3,NO,1,2,?,77110,14020,14020,49070,Suburu,N,0
2300301,311842,149,37,500,1415.68,0,MALE,PhD,prof-specialty,yachting,own-child,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3540 Maple St,17,1,YES,0,1,YES,64800,10800,5400,48600,Audi,N,0
311842,265025,147,33,1000,1334.15,6000000,MALE,High School,craft-repair,reading,not-in-family,53300,-49200,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,3104 Sky Drive,15,1,YES,2,0,YES,53100,10620,5310,37170,Mercedes,Y,1
2662558,9303507,62,28,1000,988.45,0,FEMALE,Masters,protective-serv,camping,unmarried,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,4981 Weaver St,3,1,?,1,1,YES,60200,6020,6020,48160,Suburu,Y,1
9303507,2662558,289,49,2000,1222.48,0,FEMALE,JD,priv-house-serv,golf,unmarried,0,0,Parked Car,?,Minor Damage,None,WV,Arlington,6676 Tree Lane,16,1,NO,1,1,YES,5330,1230,820,3280,Suburu,N,0
9303507,2662558,431,54,2000,1155.55,0,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,3930 Embaracadero St,4,3,?,2,0,?,62300,12460,6230,43610,Jeep,N,0
9303507,2662558,199,37,500,1262.08,0,MALE,JD,tech-support,video-games,wife,48500,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,3422 Flute St,4,1,?,0,3,NO,60170,10940,10940,38290,Nissan,Y,1
9303507,2662558,79,26,500,1451.62,0,MALE,Associate,tech-support,kayaking,not-in-family,0,-55700,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,4862 Lincoln Hwy,19,1,NO,2,2,?,40000,8000,4000,28000,BMW,N,0
2859175,,116,34,500,1737.66,0,MALE,Associate,transport-moving,chess,unmarried,0,-24100,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,5719 2nd Lane,1,1,?,1,1,?,97080,16180,16180,64720,BMW,Y,1
2859175,,37,23,500,1475.93,0,FEMALE,College,prof-specialty,hiking,husband,0,-67400,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,3221 Solo Ridge,17,3,YES,1,0,NO,51660,5740,5740,40180,Dodge,N,0
2870439,,106,30,500,538.17,0,FEMALE,PhD,transport-moving,reading,own-child,49700,-60200,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,6660 MLK Drive,23,1,NO,2,2,NO,51120,5680,5680,39760,Mercedes,N,0
2859175,2870439,269,44,2000,1081.08,0,MALE,JD,priv-house-serv,reading,unmarried,36400,-28700,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,1699 Oak Drive,14,1,YES,0,2,?,56400,11280,11280,33840,Toyota,N,0
2859175,2870439,265,40,1000,1454.43,0,FEMALE,MD,protective-serv,yachting,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,4234 Cherokee Lane,17,3,NO,2,3,?,55120,6890,0,48230,Accura,N,0
2870439,,163,33,500,1240.47,0,FEMALE,Associate,other-service,polo,husband,35300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,7476 4th St,11,3,YES,1,1,?,77110,0,14020,63090,Honda,N,0
2870439,2859175,355,47,2000,1273.7,4000000,MALE,College,other-service,kayaking,husband,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,8907 Tree Ave,19,3,NO,2,1,NO,62800,6280,6280,50240,Audi,Y,1
3380654,6471029,175,34,1000,1123.87,8000000,FEMALE,PhD,protective-serv,dancing,other-relative,0,0,Vehicle Theft,?,Trivial Damage,Police,NY,Arlington,6619 Flute Ave,5,1,?,2,0,YES,7290,810,810,5670,Volkswagen,N,0
3275032,3380654,192,35,1000,1245.89,0,FEMALE,Masters,exec-managerial,movies,wife,0,-40300,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,6011 Britain St,19,1,NO,0,0,?,76600,15320,7660,53620,Mercedes,N,0
3410275,,430,59,2000,1326.62,7000000,MALE,MD,other-service,bungie-jumping,own-child,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,5104 Francis Drive,19,3,?,0,3,YES,81800,16360,8180,57260,Nissan,N,0
3410275,11185015,91,27,2000,1073.83,0,FEMALE,JD,farming-fishing,polo,husband,0,0,Vehicle Theft,?,Trivial Damage,None,NY,Arlington,2280 4th Ave,4,1,?,1,2,?,7260,1320,660,5280,BMW,N,0
3749210,3410275,217,39,1000,1530.52,0,MALE,College,armed-forces,basketball,not-in-family,0,0,Vehicle Theft,?,Minor Damage,None,WV,Northbend,2644 Elm Drive,8,1,?,2,1,YES,4300,430,430,3440,Toyota,N,0
3749210,,223,40,500,1201.41,0,FEMALE,JD,priv-house-serv,movies,husband,88400,-46500,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7466 MLK Ridge,7,3,YES,1,0,?,70510,12820,12820,44870,Suburu,N,0
3776374,11849038,195,39,1000,1393.57,0,MALE,PhD,machine-op-inspct,movies,not-in-family,47600,-39600,Parked Car,?,Minor Damage,Police,VA,Northbend,5821 2nd St,5,1,NO,0,1,YES,2640,480,480,1680,Ford,N,0
11849038,,22,26,1000,1276.57,0,MALE,PhD,craft-repair,skydiving,not-in-family,71500,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,6723 Best Drive,3,1,YES,1,2,NO,78900,15780,7890,55230,Chevrolet,N,0
11849038,,439,56,500,1082.49,0,FEMALE,PhD,prof-specialty,chess,unmarried,36100,-55000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,4866 4th Hwy,12,3,?,2,3,?,56430,0,6270,50160,Honda,N,0
11849038,,94,32,1000,1414.74,0,FEMALE,Masters,adm-clerical,hiking,own-child,0,0,Parked Car,?,Minor Damage,None,VA,Riverwood,5418 Britain Ave,19,1,NO,1,3,NO,2400,300,300,1800,Chevrolet,N,0
4397531,,11,39,2000,1470.06,0,MALE,PhD,other-service,yachting,husband,56600,-45800,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,4296 Pine Hwy,22,1,YES,0,1,NO,65790,7310,7310,51170,Saab,N,0
3867134,4397531,151,36,2000,870.63,0,FEMALE,MD,adm-clerical,kayaking,own-child,94800,-58500,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,2299 1st St,12,3,NO,1,1,NO,62920,11440,5720,45760,Ford,N,0
2299831,,154,34,500,795.23,0,MALE,PhD,machine-op-inspct,base-jumping,other-relative,36900,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,6618 Cherokee Drive,15,3,YES,2,1,?,69480,15440,0,54040,Nissan,Y,1
3948593,2299831,245,44,1000,1168.2,0,MALE,JD,handlers-cleaners,basketball,husband,69100,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,7459 Flute St,23,3,NO,0,3,NO,44280,7380,3690,33210,Honda,N,0
4077402,4479470,119,32,1000,993.51,0,MALE,High School,armed-forces,bungie-jumping,unmarried,0,-49500,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,3567 4th Drive,12,1,NO,0,3,YES,56300,5630,11260,39410,BMW,N,0
2021035,,215,42,500,1848.81,0,MALE,JD,transport-moving,video-games,own-child,0,-49000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,2457 Washington Ave,20,3,YES,2,2,YES,68520,11420,5710,51390,Suburu,Y,1
4077402,,295,42,2000,1641.73,5000000,MALE,PhD,sales,chess,not-in-family,62400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,1269 Flute Drive,16,3,NO,0,0,NO,59130,6570,6570,45990,Ford,Y,1
2021035,4479470,254,39,500,1362.87,0,FEMALE,MD,exec-managerial,chess,other-relative,35700,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,1218 Sky Hwy,6,3,YES,2,2,NO,82320,13720,6860,61740,Dodge,Y,1
4561813,11479653,107,31,500,1239.22,7000000,FEMALE,High School,tech-support,paintball,not-in-family,43400,-91200,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,9169 Pine Ridge,12,1,YES,0,1,NO,89700,13800,13800,62100,Audi,Y,1
11479653,,478,64,500,835.02,0,FEMALE,Associate,adm-clerical,reading,unmarried,59600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,8538 Texas Lane,17,3,NO,1,1,NO,33930,0,3770,30160,BMW,N,0
11479653,,128,30,1000,1061.33,0,MALE,MD,machine-op-inspct,movies,own-child,43300,-66200,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,5783 Oak Ave,8,1,NO,0,3,NO,68530,12460,6230,49840,Audi,N,0
4654545,4654544,338,49,1000,1279.08,0,MALE,MD,other-service,kayaking,own-child,0,-51500,Parked Car,?,Minor Damage,None,NC,Riverwood,7721 Washington Ridge,13,1,NO,0,1,?,4300,860,860,2580,Ford,N,0
4654544,4798522,271,42,500,1105.49,0,FEMALE,Associate,prof-specialty,sleeping,own-child,56200,-50000,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,8006 Maple Hwy,12,2,?,2,3,?,68310,12420,6210,49680,Audi,Y,1
4675286,5421573,222,41,2000,1055.53,0,FEMALE,MD,armed-forces,cross-fit,not-in-family,37800,-50300,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,6751 Pine Ridge,7,1,NO,0,2,NO,61290,6810,6810,47670,Honda,Y,1
5421573,,199,41,1000,895.83,0,FEMALE,Associate,sales,paintball,husband,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,2324 Texas Ridge,10,1,NO,1,2,NO,30100,3010,0,27090,Chevrolet,N,0
4894913,,215,37,500,1632.93,0,FEMALE,College,transport-moving,golf,not-in-family,0,-42900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,7923 Elm Ave,7,3,NO,2,0,YES,57120,9520,4760,42840,Mercedes,N,0
5270260,,192,40,1000,1405.99,0,FEMALE,Associate,sales,yachting,wife,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,4755 Best Lane,18,3,YES,1,0,YES,42930,9540,4770,28620,BMW,N,0
4894913,5270260,120,35,1000,1425.54,0,FEMALE,High School,transport-moving,bungie-jumping,other-relative,78300,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,5053 Tree Drive,22,3,NO,2,0,NO,51210,11380,5690,34140,Ford,N,0
4867985,,270,45,1000,1038.09,0,FEMALE,College,handlers-cleaners,golf,husband,0,-19700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,2078 3rd Ave,18,3,NO,1,1,YES,89400,14900,7450,67050,Suburu,N,0
4867985,,319,47,500,1307.11,0,MALE,College,transport-moving,dancing,not-in-family,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,2804 Best St,22,3,NO,0,2,?,59730,10860,10860,38010,Audi,N,0
5302947,4867985,194,39,1000,1489.24,6000000,FEMALE,JD,other-service,kayaking,wife,0,-45000,Vehicle Theft,?,Minor Damage,None,SC,Springfield,7877 Sky Lane,15,1,YES,2,2,YES,8060,1240,1240,5580,Saab,N,0
4867985,,227,38,500,976.67,0,FEMALE,PhD,handlers-cleaners,polo,unmarried,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,6530 Weaver Ave,16,1,?,1,2,?,72200,14440,7220,50540,BMW,Y,1
4867985,,137,31,2000,1340.43,0,MALE,High School,exec-managerial,paintball,husband,52700,-40600,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Arlington,3087 Oak Hwy,6,3,NO,1,2,NO,50800,10160,10160,30480,Accura,N,0
4867985,,244,40,2000,1267.81,5000000,FEMALE,Masters,exec-managerial,video-games,wife,0,0,Vehicle Theft,?,Trivial Damage,None,NC,Northbrook,7098 Lincoln Hwy,10,1,?,2,1,?,6600,660,1320,4620,Accura,N,0
5936427,,78,29,1000,1234.2,6000000,MALE,Masters,other-service,bungie-jumping,other-relative,0,0,Vehicle Theft,?,Minor Damage,Police,NY,Northbrook,5124 Maple St,3,1,YES,2,2,NO,7500,750,1500,5250,Nissan,N,0
5936427,,200,35,2000,1318.06,0,MALE,High School,exec-managerial,video-games,wife,57300,-80600,Vehicle Theft,?,Trivial Damage,None,VA,Hillsdale,2333 Maple Lane,13,1,NO,0,3,YES,6490,1180,1180,4130,Volkswagen,N,0
5936427,,284,48,2000,769.95,0,MALE,Masters,prof-specialty,movies,not-in-family,0,-44200,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,1012 5th Lane,16,2,?,2,3,NO,60940,5540,11080,44320,Audi,Y,1
5936427,,275,41,2000,1514.72,0,MALE,High School,transport-moving,board-games,own-child,35700,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,7477 MLK Drive,13,3,YES,0,1,?,58300,5830,11660,40810,Suburu,N,0
5936427,,153,34,1000,873.64,4000000,FEMALE,Associate,priv-house-serv,yachting,husband,800,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Columbus,9489 3rd St,9,3,NO,2,1,?,68400,11400,11400,45600,Ford,N,0
5428362,,134,32,500,1612.43,0,FEMALE,MD,other-service,yachting,own-child,36400,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Springfield,2087 Apache Ave,2,1,?,2,1,YES,64240,11680,11680,40880,BMW,N,0
5428362,,31,36,2000,1318.24,9000000,FEMALE,College,prof-specialty,kayaking,not-in-family,0,-78600,Parked Car,?,Trivial Damage,None,WV,Arlington,5540 Sky St,9,1,NO,0,1,YES,4700,940,470,3290,Dodge,N,0
5568358,5428362,41,25,1000,1226.83,0,FEMALE,College,exec-managerial,exercise,not-in-family,0,-56100,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Columbus,7238 2nd St,12,3,YES,2,0,?,45120,0,5640,39480,Accura,Y,1
5568358,,127,29,2000,1326.44,5000000,FEMALE,High School,sales,board-games,own-child,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Arlington,8442 Britain Hwy,12,2,YES,1,1,?,66950,10300,10300,46350,Saab,N,0
5428362,,61,23,2000,1136.83,4000000,FEMALE,Associate,tech-support,exercise,own-child,0,-62400,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,Columbus,1331 Britain Hwy,14,1,NO,0,3,?,98340,8940,17880,71520,Honda,Y,1
5936427,5428362,207,42,2000,1322.78,0,MALE,PhD,farming-fishing,yachting,own-child,55200,0,Parked Car,?,Trivial Damage,None,WV,Springfield,5260 Francis Drive,9,1,NO,0,1,NO,5900,590,590,4720,BMW,N,0
5581585,5458207,219,43,1000,1483.25,0,FEMALE,MD,exec-managerial,exercise,not-in-family,90700,-20800,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Riverwood,1135 Solo Lane,3,3,NO,1,1,?,70680,5890,11780,53010,Ford,N,0
5458207,,271,42,500,1515.3,0,FEMALE,High School,machine-op-inspct,hiking,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,9737 Solo Hwy,21,3,NO,1,0,NO,93720,17040,8520,68160,Mercedes,N,0
5581585,,80,25,2000,1075.18,5000000,FEMALE,PhD,armed-forces,exercise,husband,67700,-58400,Vehicle Theft,?,Minor Damage,None,OH,Northbrook,3289 Britain Drive,5,1,NO,2,0,YES,6930,1260,630,5040,Toyota,N,0
5581585,5458207,325,47,1000,1690.27,0,FEMALE,Associate,protective-serv,hiking,not-in-family,61500,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Springfield,6550 Andromedia St,11,1,YES,0,3,NO,72930,6630,6630,59670,Dodge,Y,1
5458799,,29,25,2000,1352.83,0,MALE,Masters,farming-fishing,skydiving,own-child,0,-71700,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,SC,Hillsdale,1679 2nd Hwy,4,4,YES,1,2,YES,64890,7210,7210,50470,Nissan,Y,1
5708778,5458799,295,48,1000,1148.73,0,FEMALE,College,machine-op-inspct,kayaking,wife,0,0,Parked Car,?,Trivial Damage,None,WV,Columbus,3998 Flute St,6,1,?,1,2,YES,5400,900,900,3600,Saab,N,0
5708778,5458799,239,42,1000,969.5,0,MALE,College,exec-managerial,reading,not-in-family,0,0,Vehicle Theft,?,Trivial Damage,None,NC,Northbrook,2430 MLK Ave,10,1,NO,0,0,?,5600,700,700,4200,Audi,N,0
5458799,,269,41,500,1463.82,0,FEMALE,College,protective-serv,yachting,not-in-family,0,-72300,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,7717 Britain Hwy,23,1,YES,0,0,?,79300,15860,15860,47580,Saab,N,0
5723256,5422956,80,27,1000,1474.17,0,FEMALE,College,tech-support,exercise,unmarried,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,7773 Tree Hwy,13,1,YES,1,0,YES,52800,10560,5280,36960,Saab,N,0
5422956,,279,41,500,1497.35,0,FEMALE,JD,prof-specialty,bungie-jumping,husband,37300,-31700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NC,Northbrook,2199 Texas Drive,16,3,?,2,3,NO,28800,0,3600,25200,Ford,N,0
5422956,5723256,165,33,1000,1427.14,0,FEMALE,Associate,tech-support,kayaking,other-relative,35300,-58100,Parked Car,?,Minor Damage,Police,WV,Northbend,1028 Sky Lane,3,1,NO,1,1,NO,2970,330,330,2310,Toyota,N,0
5422956,5723256,350,54,500,1495.1,0,MALE,College,other-service,basketball,wife,50500,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Northbend,4154 Lincoln Hwy,15,3,NO,0,0,?,93480,15580,7790,70110,Chevrolet,N,0
5422956,5723256,295,49,500,1141.62,0,MALE,College,prof-specialty,kayaking,husband,34300,-24300,Vehicle Theft,?,Minor Damage,None,WV,Columbus,8085 Andromedia St,4,1,YES,1,3,YES,4320,480,480,3360,Mercedes,N,0
